UTM X,UTM Y,CO2 gm-2-d-1 ,Nombre de la zona
286755.4375,2168496.75,11.36806719,Escalera_02
286758.9063,2168496.25,1.417136849,Escalera_02
286755.9375,2168493.5,9.390288014,Escalera_02
286763.4688,2168492.75,4.598531603,Escalera_02
286760.0938,2168482,20.82970163,Escalera_02
286756.8125,2168479.25,478.0650329,Escalera_02
286758.9063,2168469.75,5541.632227,Escalera_02
286755.4688,2168473.75,186.0777244,Escalera_02
286761.6563,2168462.75,284.1522454,Escalera_02
286767,2168467,4775.552006,Escalera_02
286766.31,2168460.49,1722.800001,Escalera_02
286774.875,2168453.75,331.7927861,Escalera_02
286780,2168452,301.2899824,Escalera_02
286774.5625,2168445.5,908.7840562,Escalera_02
286759.4063,2168452,176.3957568,Escalera_02
286776.2813,2168441.5,44.13059774,Escalera_02
286777.2188,2168440.75,102.1261931,Escalera_02
286781.0625,2168427.75,56.22406318,Escalera_02
286772.9063,2168413,52.58118378,Escalera_02
286777.8438,2168414.25,253.9705543,Escalera_02
286771.4688,2168406.75,32.03287509,Escalera_02
286771.3438,2168404,22.4109766,Escalera_02
286762.7813,2168409.25,29.57655252,Escalera_02
286761.75,2168400.75,24.21245947,Escalera_02
286761.75,2168400.75,24.11685363,Escalera_02
